ym,port,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,empty_share,net_pressure_raw,export_pull,roll3_empty_net,cum_empty_net,roll3_pressure_raw,positive_net_streak,buffer_raw,pressure_pct,buffer_pct,pressure_z,buffer_z
202501,基隆港,1339,38704,81209,18122,128813.75,-37365,40043,99331,0.3108596714248285,-0.29006996535695917,0.1406837391194651,-37365,-37365,-0.29006996535695917,0,0.6891403285751715,0,0,-2.4615612328441068,-2.030042034151811
202502,基隆港,1671,20761,68084,19435,104992.75,-19090,22432,87519,0.21365284745851496,-0.1818220781911132,0.18510801936324175,-28227.5,-56455,-0.23594602177403617,0,0.786347152541485,0.9090909090909091,0.8181818181818182,-2.4615612328441068,-2.030042034151811
202503,基隆港,2840,32596,91951,21451,136081.75,-29756,35436,113402,0.26040229494403183,-0.2186626788676659,0.1576331874038951,-28737,-86211,-0.23018490747191275,0,0.7395977050559682,0.36363636363636365,0.2727272727272727,-2.4615612328441068,-2.030042034151811
202504,基隆港,1860,29504,89606,23537,139028.75,-27644,31364,113143,0.2255936272173921,-0.19883657157242657,0.16929591900955737,-25496.666666666668,-113855,-0.1997737762104019,0,0.7744063727826079,0.6363636363636364,0.7272727272727273,-2.4615612328441068,-2.030042034151811
202505,基隆港,2999,34319,87370,20645,141255.5,-31320,37318,108015,0.2641879431243385,-0.22172587970025945,0.14615360109871828,-29573.333333333332,-145175,-0.21307504338011732,0,0.7358120568756614,0.18181818181818182,0.18181818181818182,-2.4615612328441068,-2.030042034151811
202506,基隆港,2296,30873,87276,22312,136769.5,-28577,33169,109588,0.2425175203535876,-0.2089427832959834,0.163135786853063,-29180.333333333332,-173752,-0.20983507818955646,0,0.7574824796464124,0.5454545454545454,0.45454545454545453,-2.4615612328441068,-2.030042034151811
202507,基隆港,1380,30250,86974,20893,135946.75,-28870,31630,107867,0.23266462787819495,-0.21236256107630375,0.15368517452605523,-29589,-202622,-0.21434374135751552,0,0.767335372121805,0.45454545454545453,0.6363636363636364,-2.4615612328441068,-2.030042034151811
202508,基隆港,2430,33095,90360,22389,139112,-30665,35525,112749,0.25536977399505434,-0.22043389499108632,0.16094226234976133,-29370.666666666668,-233287,-0.21391307978779114,0,0.7446302260049457,0.2727272727272727,0.36363636363636365,-2.4615612328441068,-2.030042034151811
202509,基隆港,2329,35041,93011,18848,134993,-32712,37370,111859,0.2768291689198699,-0.24232367604246147,0.1396220544768988,-30749,-265999,-0.22504004403661718,0,0.72317083108013,0.09090909090909091,0.09090909090909091,-2.4615612328441068,-2.030042034151811
202510,基隆港,2527,26836,75672,19630,124129.75,-24309,29363,95302,0.23655086713700785,-0.19583540609724903,0.15814097748525233,-29228.666666666668,-290308,-0.21953099237693227,0,0.7634491328629921,0.7272727272727273,0.5454545454545454,-2.4615612328441068,-2.030042034151811
202511,基隆港,1350,26356,87131,16632,136588.25,-25006,27706,103763,0.20284321674814632,-0.18307577701595856,0.12176742875027684,-27342.333333333332,-315314,-0.20707828638522302,0,0.7971567832518537,0.8181818181818182,0.9090909090909091,-2.4615612328441068,-2.030042034151811
202512,基隆港,1272,26359,99956,18600,145851.5,-25087,27631,118556,0.18944611471256723,-0.17200371610850762,0.1275269709259075,-24800.666666666668,-340401,-0.18363829974057175,0,0.8105538852874328,1,1,-2.4615612328441068,-2.030042034151811
202501,安平港,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202502,安平港,0,0,0,0,456,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202503,安平港,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202504,安平港,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202505,安平港,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202506,安平港,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202507,安平港,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202508,安平港,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202509,安平港,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202510,安平港,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202511,安平港,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202512,安平港,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202501,臺中港,11295,9012,80832,40216,129085,2283,20307,121048,0.15731494751520317,0.01768602083898206,0.3115466553046442,2283,2283,0.01768602083898206,1,0.8426850524847969,0.09090909090909091,0.18181818181818182,-1.0773114034521802,-0.579422761206617
202502,臺中港,6222,5935,64518,43731,108321.75,287,12157,108249,0.11223046156473654,0.00264951406342678,0.4037139355669568,1285,2570,0.01016776745120442,2,0.8877695384352635,0,1,-1.0773114034521802,-0.579422761206617
202503,臺中港,10585,6574,83661,51097,140307.75,4011,17159,134758,0.12229545410000515,0.02858715929804305,0.3641780300803056,2193.6666666666665,6581,0.016307564733483965,3,0.8777045458999948,0.2727272727272727,0.9090909090909091,-1.0773114034521802,-0.579422761206617
202504,臺中港,14514,8551,79471,52098,134071.5,5963,23065,131569,0.17203507083906722,0.04447626825984643,0.38858370347165505,3420.3333333333335,12544,0.025237647207105418,4,0.8279649291609328,0.9090909090909091,0.09090909090909091,-1.0773114034521802,-0.579422761206617
202505,臺中港,15646,10150,89576,52361,143425.5,5496,25796,141937,0.17985644114888916,0.03831954568748235,0.36507455089924734,5156.666666666667,18040,0.03712765774845728,5,0.8201435588511109,0.7272727272727273,0,-1.0773114034521802,-0.579422761206617
202506,臺中港,11980,7530,81090,53586,139288.5,4450,19510,134676,0.14006899349192503,0.03194807898713821,0.384712305753885,5303,22490,0.038247964311489,6,0.859931006508075,0.36363636363636365,0.6363636363636364,-1.0773114034521802,-0.579422761206617
202507,臺中港,13488,6619,80136,48288,129173.25,6869,20107,128424,0.1556591631781348,0.0531766445452135,0.37382352770407185,5605,29359,0.04114808973994469,7,0.8443408368218652,1,0.36363636363636365,-1.0773114034521802,-0.579422761206617
202508,臺中港,13444,7876,90881,51132,139444,5568,21320,142013,0.15289291758698834,0.0399300077450446,0.366684834055248,5629,34927,0.04168491042579877,8,0.8471070824130117,0.8181818181818182,0.45454545454545453,-1.0773114034521802,-0.579422761206617
202509,臺中港,11343,6864,84933,45220,126648.75,4479,18207,130153,0.14375980813075534,0.03536552867675362,0.3570505038541636,5638.666666666667,39406,0.04282406032233724,9,0.8562401918692447,0.45454545454545453,0.5454545454545454,-1.0773114034521802,-0.579422761206617
202510,臺中港,10016,5511,80123,45046,124361.5,4505,15527,125169,0.12485375297017164,0.03622503749150661,0.36221821061984616,4850.666666666667,43911,0.037173524637768275,10,0.8751462470298284,0.5454545454545454,0.7272727272727273,-1.0773114034521802,-0.579422761206617
202511,臺中港,10475,5543,86134,43059,129488.5,4932,16018,129193,0.12370210482011916,0.03808832444580021,0.33253146032273134,4638.666666666667,48843,0.03655963020468681,11,0.8762978951798809,0.6363636363636364,0.8181818181818182,-1.0773114034521802,-0.579422761206617
202512,臺中港,12988,10055,96048,53118,147130.25,2933,23043,149166,0.1566163314478158,0.01993471770760941,0.3610270491622219,4123.333333333333,51776,0.03141602654830541,12,0.8433836685521842,0.18181818181818182,0.2727272727272727,-1.0773114034521802,-0.579422761206617
202501,臺北港,2741,6723,65885,51689,117935,-3982,9464,117574,0.08024759401365159,-0.03376436172467885,0.4382838003985246,-3982,-3982,-0.03376436172467885,0,0.9197524059863484,0.09090909090909091,0.9090909090909091,-1.0951008576184307,0.9586697318524964
202502,臺北港,8091,3290,62585,45740,100157.25,4801,11381,108325,0.11363131475754376,0.04793462280563813,0.4566818677629428,409.5,819,0.007085130540479639,1,0.8863686852424563,1,0.2727272727272727,-1.0951008576184307,0.9586697318524964
202503,臺北港,3757,6981,76463,59820,131944.25,-3224,10738,136283,0.0813828567747363,-0.02443456232461816,0.45337329970802065,-801.6666666666666,-2405,-0.003421433747886294,0,0.9186171432252637,0.2727272727272727,0.8181818181818182,-1.0951008576184307,0.9586697318524964
202504,臺北港,11784,7100,74748,54160,120731.25,4684,18884,128908,0.15641352176839057,0.03879691463477765,0.4485996790391883,2087,2279,0.02076565837193254,1,0.8435864782316095,0.9090909090909091,0,-1.0951008576184307,0.9586697318524964
202505,臺北港,6801,8814,83855,53083,130724.75,-2013,15615,136938,0.11944945390983729,-0.01539876725715673,0.40606694600678145,-184.33333333333343,266,-3.454716489990813e-4,0,0.8805505460901627,0.45454545454545453,0.09090909090909091,-1.0951008576184307,0.9586697318524964
202506,臺北港,5152,7865,79202,57164,129791.5,-2713,13017,136366,0.10029162156227488,-0.02090275557336189,0.4404294580153554,-14,-2447,8.317972680863423e-4,0,0.8997083784377251,0.36363636363636365,0.45454545454545453,-1.0951008576184307,0.9586697318524964
202507,臺北港,4324,8554,70167,52201,123743.75,-4230,12878,122368,0.10406990252032931,-0.03418354462346583,0.42184756805899287,-2985.3333333333335,-6677,-0.023495022484661485,0,0.8959300974796707,0,0.36363636363636365,-1.0951008576184307,0.9586697318524964
202508,臺北港,3206,6951,72494,54714,117768.5,-3745,10157,127208,0.0862454731103818,-0.03179967478570246,0.46458942756339766,-3562.6666666666665,-10422,-0.028961991660843393,0,0.9137545268896182,0.18181818181818182,0.7272727272727273,-1.0951008576184307,0.9586697318524964
202509,臺北港,7833,4980,72964,44288,107584.75,2853,12813,117252,0.11909680507692771,0.02651862833719463,0.4116568565712148,-1707.3333333333335,-7569,-0.013154863690657888,1,0.8809031949230722,0.7272727272727273,0.18181818181818182,-1.0951008576184307,0.9586697318524964
202510,臺北港,4013,4440,64311,51154,113001,-427,8453,115465,0.07480464774648012,-0.00377872762187945,0.4526862594136335,-439.6666666666668,-7996,-0.003019924690129095,0,0.9251953522535199,0.5454545454545454,1,-1.0951008576184307,0.9586697318524964
202511,臺北港,7765,3736,68329,52743,121710.5,4029,11501,121072,0.0944947231339942,0.03310314229257131,0.4333479855887537,2151.6666666666665,-3967,0.018614347669295497,1,0.9055052768660058,0.8181818181818182,0.6363636363636364,-1.0951008576184307,0.9586697318524964
202512,臺北港,8930,5130,84355,61543,148565.25,3800,14060,145898,0.0946385510743596,0.02557798677685394,0.4142489579494532,2467.3333333333335,-167,0.018300800482515266,2,0.9053614489256404,0.6363636363636364,0.5454545454545454,-1.0951008576184307,0.9586697318524964
202501,高雄港,68252,54612,377368,305842,780706.5,13640,122864,683210,0.1573754029203036,0.01747135447187899,0.39175029284372553,13640,13640,0.01747135447187899,1,0.8426245970796964,0.45454545454545453,0.7272727272727273,-0.2560045942332927,0.4932347490481129
202502,高雄港,71397,44013,333046,277184,693319.75,27384,115410,610230,0.16645999194455371,0.03949692764413533,0.39979244785685103,20512,41024,0.02848414105800716,2,0.8335400080554463,1,0.36363636363636365,-0.2560045942332927,0.4932347490481129
202503,高雄港,81063,55625,399283,293156,791883.25,25438,136688,692439,0.17261130349707485,0.03212342223427506,0.37020103657957154,22154,66462,0.029697234783429793,3,0.8273886965029251,0.8181818181818182,0.09090909090909091,-0.2560045942332927,0.4932347490481129
202504,高雄港,74523,53541,366749,279789,736143,20982,128064,646538,0.17396619950199893,0.02850261430184081,0.3800742518776922,24601.333333333332,87444,0.03337432139341707,4,0.826033800498001,0.7272727272727273,0,-0.2560045942332927,0.4932347490481129
202505,高雄港,69228,42346,390485,297912,760686.5,26882,111574,688397,0.14667540438801005,0.0353391311663872,0.3916357132668977,24434,114326,0.03198838923416769,5,0.8533245956119899,0.9090909090909091,0.9090909090909091,-0.2560045942332927,0.4932347490481129
202506,高雄港,66615,55743,388171,305025,754069,10872,122358,693196,0.16226366552662952,0.01441777874438546,0.4045054232437615,19578.666666666668,125198,0.026086508070871157,6,0.8377363344733705,0.2727272727272727,0.6363636363636364,-0.2560045942332927,0.4932347490481129
202507,高雄港,67092,52806,387078,292485,731295.5,14286,119898,679563,0.16395287541082915,0.01953519473318241,0.39995460111541775,17346.666666666668,139484,0.02309736821465169,7,0.8360471245891709,0.5454545454545454,0.5454545454545454,-0.2560045942332927,0.4932347490481129
202508,高雄港,70142,57855,387439,289330,762628,12287,127997,676769,0.1678367434712599,0.01611139375947382,0.3793854933204656,12481.666666666666,151771,0.01668812241234723,8,0.8321632565287401,0.36363636363636365,0.2727272727272727,-0.2560045942332927,0.4932347490481129
202509,高雄港,63211,54976,363063,243335,695856.25,8235,118187,606398,0.16984398717407512,0.01183434078518372,0.34969147722679794,11602.666666666666,160006,0.01582697642594665,9,0.8301560128259249,0.18181818181818182,0.18181818181818182,-0.2560045942332927,0.4932347490481129
202510,高雄港,68373,48556,359132,264526,704490.25,19817,116929,623658,0.1659767470167259,0.02812955892576228,0.3754856791843464,13446.333333333334,179823,0.01869176449013994,10,0.8340232529832741,0.6363636363636364,0.45454545454545453,-0.2560045942332927,0.4932347490481129
202511,高雄港,50592,49338,359557,261664,697826.25,1254,99930,621221,0.14320183570050568,0.00179700892593249,0.37497013045869226,9768.666666666666,181077,0.013920302878959496,11,0.8567981642994943,0,1,-0.2560045942332927,0.4932347490481129
202512,高雄港,61529,59552,417202,283437,776950.5,1977,121081,700639,0.15584133094708091,0.0025445636498078,0.36480702438572343,7682.666666666666,183054,0.010823710500500856,12,0.844158669052919,0.09090909090909091,0.8181818181818182,-0.2560045942332927,0.4932347490481129
